Power Consumed,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
9.39E-07,1.297866,1.235468,1.360739
9.39E-07,1.295929,1.233592,1.358738
9.39E-07,1.293996,1.231721,1.356741
9.39E-07,1.292069,1.229855,1.35475
9.39E-07,1.290146,1.227993,1.352764
9.39E-07,1.288228,1.226136,1.350783
9.39E-07,1.286314,1.224283,1.348807
9.40E-07,1.284406,1.222434,1.346836
9.40E-07,1.282502,1.22059,1.34487
9.40E-07,1.280602,1.21875,1.342909
9.40E-07,1.278708,1.216915,1.340953
9.40E-07,1.276818,1.215083,1.339002
9.40E-07,1.274932,1.213256,1.337056
9.40E-07,1.273051,1.211434,1.335114
9.40E-07,1.271174,1.209615,1.333177
9.40E-07,1.269302,1.2078,1.331246
9.40E-07,1.267434,1.20599,1.329318
9.40E-07,1.265571,1.204184,1.327396
9.40E-07,1.263712,1.202382,1.325478
9.40E-07,1.261858,1.200584,1.323565
9.40E-07,1.260007,1.19879,1.321656
9.41E-07,1.258162,1.197,1.319753
9.41E-07,1.25632,1.195214,1.317853
9.41E-07,1.254483,1.193432,1.315958
9.41E-07,1.252649,1.191655,1.314068
9.41E-07,1.25082,1.189881,1.312182
9.41E-07,1.248996,1.18811,1.310301
9.41E-07,1.247175,1.186344,1.308424
9.41E-07,1.245359,1.184582,1.306551
9.41E-07,1.243546,1.182823,1.304683
9.41E-07,1.241738,1.181069,1.302819
9.41E-07,1.239933,1.179318,1.30096
9.41E-07,1.238133,1.177571,1.299105
9.42E-07,1.236337,1.175827,1.297254
9.42E-07,1.234545,1.174088,1.295407
9.42E-07,1.232756,1.172352,1.293564
9.42E-07,1.230972,1.170619,1.291726
9.42E-07,1.229192,1.168891,1.289892
9.42E-07,1.227415,1.167166,1.288062
9.42E-07,1.225642,1.165445,1.286236
9.42E-07,1.223873,1.163727,1.284414
9.42E-07,1.222108,1.162013,1.282596
9.42E-07,1.220347,1.160302,1.280783
9.42E-07,1.21859,1.158595,1.278973
9.43E-07,1.216836,1.156892,1.277167
9.43E-07,1.215086,1.155192,1.275366
9.43E-07,1.21334,1.153495,1.273568
9.43E-07,1.211597,1.151802,1.271774
9.43E-07,1.209858,1.150113,1.269984
9.43E-07,1.208123,1.148427,1.268198
9.43E-07,1.206391,1.146744,1.266416
9.43E-07,1.204663,1.145065,1.264638
9.43E-07,1.202939,1.143389,1.262863
9.43E-07,1.201218,1.141716,1.261093
9.44E-07,1.199501,1.140047,1.259326
9.44E-07,1.197787,1.138381,1.257562
9.44E-07,1.196077,1.136718,1.255803
9.45E-07,1.19437,1.135059,1.254047
9.45E-07,1.192667,1.133403,1.252295
9.45E-07,1.190967,1.13175,1.250547
9.45E-07,1.18927,1.1301,1.248802
9.45E-07,1.187577,1.128454,1.247061
9.45E-07,1.185888,1.12681,1.245324
9.45E-07,1.184201,1.12517,1.24359
9.45E-07,1.182519,1.123533,1.241859
9.45E-07,1.180839,1.1219,1.240133
9.45E-07,1.179163,1.120269,1.238409
9.45E-07,1.17749,1.118642,1.23669
9.45E-07,1.17582,1.117017,1.234974
9.45E-07,1.174154,1.115396,1.233261
9.45E-07,1.172491,1.113777,1.231551
9.46E-07,1.170831,1.112162,1.229846
9.48E-07,1.169174,1.11055,1.228143
9.48E-07,1.167521,1.108941,1.226444
9.48E-07,1.165871,1.107335,1.224748
9.48E-07,1.164224,1.105731,1.223056
9.48E-07,1.16258,1.104131,1.221367
9.48E-07,1.160939,1.102534,1.219682
9.48E-07,1.159301,1.100939,1.217999
9.48E-07,1.157667,1.099348,1.21632
9.48E-07,1.156035,1.097759,1.214645
9.48E-07,1.154407,1.096174,1.212972
9.48E-07,1.152782,1.094591,1.211303
9.48E-07,1.151159,1.093011,1.209637
9.48E-07,1.14954,1.091434,1.207974
9.48E-07,1.147924,1.08986,1.206314
9.48E-07,1.146311,1.088288,1.204658
9.48E-07,1.1447,1.08672,1.203005
9.48E-07,1.143093,1.085154,1.201354
9.48E-07,1.141489,1.083591,1.199707
9.48E-07,1.139887,1.082031,1.198064
9.48E-07,1.138289,1.080473,1.196423
9.48E-07,1.136693,1.078918,1.194785
9.48E-07,1.1351,1.077366,1.19315
9.48E-07,1.13351,1.075817,1.191519
9.48E-07,1.131923,1.07427,1.18989
9.48E-07,1.130339,1.072726,1.188264
9.48E-07,1.128758,1.071185,1.186642
9.48E-07,1.127179,1.069646,1.185022
9.48E-07,1.125604,1.06811,1.183406
9.48E-07,1.124031,1.066577,1.181792
9.48E-07,1.122461,1.065046,1.180181
9.48E-07,1.120893,1.063518,1.178573
9.48E-07,1.119329,1.061992,1.176969
9.48E-07,1.117767,1.060469,1.175367
9.48E-07,1.116207,1.058949,1.173767
9.48E-07,1.114651,1.057431,1.172171
9.48E-07,1.113097,1.055916,1.170578
9.48E-07,1.111546,1.054403,1.168987
9.48E-07,1.109998,1.052893,1.1674
9.48E-07,1.108452,1.051385,1.165815
9.48E-07,1.106909,1.04988,1.164233
9.48E-07,1.105368,1.048377,1.162653
9.48E-07,1.103831,1.046877,1.161077
9.48E-07,1.102295,1.045379,1.159503
9.49E-07,1.100763,1.043884,1.157932
9.49E-07,1.099232,1.042391,1.156363
9.49E-07,1.097705,1.0409,1.154798
9.49E-07,1.09618,1.039412,1.153235
9.49E-07,1.094658,1.037926,1.151675
9.49E-07,1.093138,1.036443,1.150117
9.49E-07,1.09162,1.034962,1.148562
9.49E-07,1.090106,1.033483,1.14701
9.49E-07,1.088593,1.032007,1.145461
9.49E-07,1.087083,1.030533,1.143914
9.49E-07,1.085576,1.029062,1.142369
9.49E-07,1.084071,1.027593,1.140828
9.49E-07,1.082568,1.026126,1.139288
9.50E-07,1.081068,1.024661,1.137752
9.50E-07,1.079571,1.023199,1.136218
9.50E-07,1.078076,1.021739,1.134687
9.50E-07,1.076583,1.020281,1.133158
9.50E-07,1.075092,1.018826,1.131631
9.50E-07,1.073604,1.017373,1.130107
9.50E-07,1.072119,1.015922,1.128586
9.50E-07,1.070636,1.014473,1.127067
9.50E-07,1.069155,1.013026,1.125551
9.50E-07,1.067676,1.011582,1.124037
9.50E-07,1.0662,1.01014,1.122526
9.50E-07,1.064726,1.0087,1.121017
9.51E-07,1.063254,1.007262,1.11951
9.51E-07,1.061785,1.005827,1.118006
9.51E-07,1.060318,1.004394,1.116505
9.51E-07,1.058853,1.002962,1.115005
9.51E-07,1.057391,1.001533,1.113508
9.51E-07,1.05593,1.000106,1.112014
9.51E-07,1.054472,0.9986816,1.110522
9.51E-07,1.053017,0.9972589,1.109032
9.51E-07,1.051563,0.9958383,1.107545
9.51E-07,1.050112,0.9944199,1.10606
9.51E-07,1.048663,0.9930034,1.104577
9.51E-07,1.047216,0.9915891,1.103097
9.51E-07,1.045771,0.9901769,1.101619
9.51E-07,1.044329,0.9887667,1.100143
